epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,264.751,0.88059,0.64979,1.00771,0.92381,0.7525,0.8451,0.57281,1.18694,0.77749,1.2354,0.000554875,0.000554875,0.000554875
70,268.301,0.8921,0.64498,0.98763,0.76174,0.89205,0.83639,0.55841,1.15266,0.75171,1.20806,0.000553844,0.000553844,0.000553844
71,271.968,0.84375,0.60611,0.95636,0.83704,0.87827,0.84524,0.59417,1.12091,0.69682,1.20815,0.000552813,0.000552813,0.000552813
72,275.757,0.88162,0.63578,0.99651,0.92312,0.7612,0.82542,0.58235,1.17987,0.68845,1.27645,0.000551781,0.000551781,0.000551781
73,279.354,0.8644,0.62741,0.98162,0.92545,0.73162,0.83212,0.56472,1.22541,0.6616,1.23397,0.00055075,0.00055075,0.00055075
74,282.941,0.82841,0.58663,0.95358,0.88491,0.75768,0.79286,0.54755,1.16109,0.73398,1.2245,0.000549719,0.000549719,0.000549719
75,286.626,0.85381,0.63322,0.9698,0.86871,0.79014,0.7968,0.5492,1.14823,0.68845,1.2144,0.000548688,0.000548688,0.000548688
76,290.245,0.85404,0.60838,0.99861,0.9175,0.77645,0.80446,0.58314,1.1554,0.72447,1.21149,0.000547656,0.000547656,0.000547656
77,293.837,0.8536,0.63721,0.97504,0.93575,0.75481,0.81123,0.59636,1.14562,0.69144,1.19262,0.000546625,0.000546625,0.000546625
78,297.378,0.83274,0.58823,0.95075,0.89918,0.83055,0.89646,0.64379,1.11091,0.71538,1.20082,0.000545594,0.000545594,0.000545594
79,301.135,0.82565,0.6059,0.95057,0.88562,0.85064,0.8998,0.63542,1.14906,0.77467,1.21051,0.000544563,0.000544563,0.000544563
80,312.817,0.78754,0.57978,0.93911,0.95781,0.77866,0.92217,0.61751,1.12337,0.67323,1.22137,0.000543531,0.000543531,0.000543531
81,317.837,0.82983,0.60241,0.96891,0.95537,0.79902,0.92266,0.63874,1.17683,0.6978,1.25387,0.0005425,0.0005425,0.0005425
82,321.775,0.79239,0.57199,0.94677,0.91302,0.70633,0.80763,0.5815,1.13115,0.76404,1.22747,0.000541469,0.000541469,0.000541469
83,326.081,0.80661,0.59308,0.96735,0.88727,0.72465,0.79721,0.56504,1.15209,0.8037,1.24416,0.000540438,0.000540438,0.000540438
84,329.882,0.84284,0.56859,0.96081,0.78693,0.86254,0.85497,0.59365,1.13157,0.64617,1.22818,0.000539406,0.000539406,0.000539406
85,333.518,0.80233,0.58533,0.95922,0.93876,0.78067,0.84131,0.58803,1.1264,0.62896,1.21798,0.000538375,0.000538375,0.000538375
86,337.261,0.78143,0.58162,0.95582,0.92947,0.72627,0.82204,0.5906,1.11895,0.6683,1.2428,0.000537344,0.000537344,0.000537344
87,340.882,0.82623,0.58166,0.9628,0.93448,0.78693,0.82982,0.59138,1.06575,0.65205,1.17753,0.000536313,0.000536313,0.000536313
88,344.674,0.81489,0.58075,0.97339,0.96692,0.747,0.81663,0.5895,1.10138,0.66371,1.19126,0.000535281,0.000535281,0.000535281
89,348.272,0.76306,0.53602,0.94084,0.92781,0.76797,0.81128,0.59345,1.09891,0.6489,1.18628,0.00053425,0.00053425,0.00053425
90,351.827,0.83004,0.56656,0.97442,0.93544,0.76192,0.81115,0.58164,1.13216,0.65173,1.20945,0.000533219,0.000533219,0.000533219
91,355.37,0.84396,0.56494,0.9672,0.95397,0.74813,0.81777,0.59812,1.118,0.65365,1.19248,0.000532187,0.000532187,0.000532187
92,358.937,0.83062,0.56197,0.96491,0.94625,0.76483,0.82998,0.59877,1.14299,0.63245,1.24181,0.000531156,0.000531156,0.000531156
93,362.484,0.81643,0.54448,0.95173,0.96546,0.77497,0.8247,0.59639,1.13131,0.61546,1.21423,0.000530125,0.000530125,0.000530125
94,366.085,0.83167,0.5704,0.97082,0.93397,0.76067,0.82405,0.58089,1.12956,0.65263,1.19317,0.000529094,0.000529094,0.000529094
95,369.652,0.79174,0.52716,0.95242,0.93097,0.73715,0.8051,0.57833,1.13888,0.76119,1.19334,0.000528062,0.000528062,0.000528062
96,373.224,0.7998,0.55541,0.9714,0.93364,0.72448,0.78541,0.55994,1.10792,0.80032,1.16444,0.000527031,0.000527031,0.000527031
97,376.784,0.79544,0.54372,0.92832,0.89497,0.78433,0.80379,0.56189,1.16762,0.73498,1.2508,0.000526,0.000526,0.000526
98,380.337,0.82042,0.55281,0.97276,0.92623,0.74878,0.80376,0.56304,1.16405,0.69702,1.21634,0.000524969,0.000524969,0.000524969
99,383.865,0.79132,0.54116,0.9485,0.93704,0.74201,0.81302,0.57979,1.17155,0.68725,1.24861,0.000523937,0.000523937,0.000523937
100,387.417,0.79069,0.52562,0.94901,0.95592,0.7213,0.81148,0.58609,1.08388,0.66006,1.18146,0.000522906,0.000522906,0.000522906
101,390.938,0.77438,0.53958,0.95509,0.93395,0.7226,0.82978,0.5899,1.12215,0.67847,1.20589,0.000521875,0.000521875,0.000521875
102,394.463,0.7756,0.53762,0.96398,0.89812,0.77146,0.83321,0.58629,1.15443,0.69329,1.23669,0.000520844,0.000520844,0.000520844
103,397.986,0.77504,0.52023,0.94901,0.93218,0.71825,0.82661,0.57905,1.16548,0.73753,1.24277,0.000519812,0.000519812,0.000519812
104,401.525,0.74428,0.52058,0.9206,0.89461,0.78031,0.84272,0.5989,1.13507,0.74231,1.22489,0.000518781,0.000518781,0.000518781
105,405.056,0.77478,0.51455,0.96069,0.90559,0.80676,0.84273,0.59921,1.13821,0.67729,1.17481,0.00051775,0.00051775,0.00051775
