epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,624.365,0.70426,0.46438,0.91977,0.93166,0.84065,0.90949,0.67825,1.06057,0.5885,1.16094,0.000568281,0.000568281,0.000568281
57,634.495,0.69211,0.46176,0.91143,0.94334,0.82913,0.91231,0.69849,1.06177,0.53811,1.19885,0.00056725,0.00056725,0.00056725
58,644.686,0.71261,0.47517,0.91874,0.94515,0.84001,0.90458,0.69534,0.99424,0.54358,1.12312,0.000566219,0.000566219,0.000566219
59,654.799,0.70671,0.46401,0.90701,0.93374,0.8648,0.89659,0.68222,1.09554,0.60691,1.17161,0.000565188,0.000565188,0.000565188
60,664.928,0.67295,0.44631,0.89327,0.90102,0.8268,0.89188,0.67734,1.07031,0.61538,1.19909,0.000564156,0.000564156,0.000564156
61,675.233,0.6622,0.44166,0.89989,0.92425,0.85025,0.90346,0.69364,1.0339,0.55238,1.1563,0.000563125,0.000563125,0.000563125
62,685.42,0.6526,0.43225,0.89978,0.94953,0.89585,0.92947,0.70075,1.0159,0.54916,1.12023,0.000562094,0.000562094,0.000562094
63,695.505,0.66362,0.45947,0.89503,0.9421,0.84097,0.89737,0.67657,0.9882,0.5771,1.11662,0.000561063,0.000561063,0.000561063
64,705.71,0.65816,0.43881,0.89578,0.89425,0.85296,0.8912,0.67456,1.03336,0.55982,1.14146,0.000560031,0.000560031,0.000560031
65,715.845,0.66949,0.44959,0.89661,0.93802,0.85609,0.90277,0.68355,1.03569,0.66285,1.15739,0.000559,0.000559,0.000559
66,726.121,0.64451,0.44002,0.90116,0.95095,0.83582,0.89801,0.68692,1.04954,0.63897,1.19117,0.000557969,0.000557969,0.000557969
67,736.341,0.67186,0.44277,0.88671,0.94133,0.83303,0.89754,0.6825,1.09516,0.67794,1.19517,0.000556938,0.000556938,0.000556938
68,746.432,0.64933,0.42801,0.89131,0.94895,0.84388,0.90122,0.68595,1.03745,0.58823,1.16481,0.000555906,0.000555906,0.000555906
69,756.565,0.63645,0.41983,0.88896,0.93775,0.83654,0.9059,0.68517,1.00525,0.55836,1.16085,0.000554875,0.000554875,0.000554875
70,766.858,0.63223,0.41103,0.88945,0.93267,0.87865,0.90509,0.6941,1.03707,0.53682,1.13968,0.000553844,0.000553844,0.000553844
71,777.013,0.63572,0.43866,0.8933,0.89052,0.83262,0.89009,0.68381,0.96873,0.55375,1.11893,0.000552813,0.000552813,0.000552813
72,787.277,0.65416,0.42902,0.89424,0.91385,0.84316,0.89766,0.68326,1.03635,0.562,1.13978,0.000551781,0.000551781,0.000551781
73,797.559,0.64305,0.42319,0.88548,0.8909,0.85897,0.91193,0.68474,1.04581,0.55549,1.18548,0.00055075,0.00055075,0.00055075
74,807.722,0.61008,0.40343,0.88671,0.96283,0.85385,0.91559,0.68655,1.08126,0.56276,1.23041,0.000549719,0.000549719,0.000549719
75,818.034,0.62608,0.41535,0.88468,0.95372,0.84501,0.90298,0.68993,1.09193,0.61125,1.21853,0.000548688,0.000548688,0.000548688
76,828.347,0.6303,0.42863,0.88233,0.96578,0.86528,0.91354,0.68728,1.09687,0.53606,1.15071,0.000547656,0.000547656,0.000547656
77,838.515,0.63044,0.42306,0.89499,0.95615,0.8344,0.89464,0.69216,1.00386,0.56432,1.1974,0.000546625,0.000546625,0.000546625
78,848.73,0.6158,0.41421,0.88008,0.92473,0.85724,0.89142,0.68367,0.99508,0.52697,1.20054,0.000545594,0.000545594,0.000545594
79,858.892,0.62884,0.42264,0.89109,0.95478,0.85157,0.9035,0.69807,1.05272,0.54009,1.21008,0.000544563,0.000544563,0.000544563
80,869.7,0.62542,0.41452,0.88748,0.93229,0.84517,0.8974,0.68517,1.07745,0.56219,1.20529,0.000543531,0.000543531,0.000543531
81,879.823,0.61207,0.4119,0.88641,0.95729,0.79387,0.89972,0.68254,1.06517,0.65457,1.14946,0.0005425,0.0005425,0.0005425
82,889.863,0.6141,0.40839,0.88166,0.87493,0.88204,0.92235,0.69951,1.05659,0.59128,1.14159,0.000541469,0.000541469,0.000541469
83,900.011,0.59896,0.39958,0.87426,0.93511,0.84635,0.89904,0.67844,1.00478,0.6651,1.14378,0.000540438,0.000540438,0.000540438
84,910.097,0.61301,0.41323,0.87763,0.94163,0.82669,0.90625,0.69791,0.99128,0.58957,1.14543,0.000539406,0.000539406,0.000539406
85,920.241,0.60514,0.4042,0.87696,0.93617,0.85349,0.91437,0.70266,0.96726,0.65428,1.11589,0.000538375,0.000538375,0.000538375
86,930.409,0.59797,0.3994,0.87284,0.90048,0.87594,0.91392,0.69724,1.0718,0.5742,1.13775,0.000537344,0.000537344,0.000537344
87,940.545,0.5886,0.39474,0.87042,0.9207,0.86612,0.90455,0.69354,1.06136,0.54469,1.15572,0.000536313,0.000536313,0.000536313
88,950.708,0.59945,0.38845,0.87525,0.93597,0.81812,0.89535,0.68481,1.0989,0.61407,1.18602,0.000535281,0.000535281,0.000535281
89,960.805,0.58542,0.39346,0.87207,0.94562,0.82916,0.9082,0.70368,1.02451,0.62355,1.12064,0.00053425,0.00053425,0.00053425
90,970.922,0.59359,0.39596,0.88383,0.95802,0.8363,0.89185,0.69876,1.04576,0.69923,1.15637,0.000533219,0.000533219,0.000533219
91,981.038,0.58606,0.38685,0.8792,0.91982,0.83715,0.88758,0.69078,1.05588,0.62509,1.16645,0.000532187,0.000532187,0.000532187
92,991.207,0.58392,0.39544,0.87492,0.9523,0.82765,0.89916,0.70652,0.96587,0.59084,1.12238,0.000531156,0.000531156,0.000531156
93,1001.52,0.58215,0.39599,0.87316,0.94186,0.84201,0.89661,0.68524,0.98355,0.63507,1.14054,0.000530125,0.000530125,0.000530125
94,1011.59,0.59073,0.39341,0.8804,0.91958,0.84622,0.90993,0.70114,1.02334,0.54258,1.11756,0.000529094,0.000529094,0.000529094
95,1021.78,0.57212,0.37874,0.86895,0.90343,0.87453,0.90561,0.71824,0.99294,0.56347,1.15387,0.000528062,0.000528062,0.000528062
96,1032.19,0.58665,0.38818,0.87002,0.94148,0.81409,0.90123,0.69312,1.04393,0.57588,1.20354,0.000527031,0.000527031,0.000527031
97,1042.37,0.57763,0.37653,0.87899,0.91679,0.85561,0.89514,0.69585,1.09511,0.65472,1.24321,0.000526,0.000526,0.000526
98,1052.59,0.56802,0.3829,0.87282,0.93167,0.85296,0.89983,0.69665,1.04335,0.57048,1.20136,0.000524969,0.000524969,0.000524969
99,1062.84,0.58501,0.37756,0.88381,0.93063,0.84045,0.89422,0.68752,0.93893,0.56888,1.09084,0.000523937,0.000523937,0.000523937
100,1072.99,0.58063,0.38618,0.88003,0.93344,0.83372,0.90321,0.69971,1.02263,0.52441,1.20554,0.000522906,0.000522906,0.000522906
101,1083.06,0.57504,0.38228,0.87508,0.93712,0.84881,0.91208,0.69206,1.04451,0.55504,1.19761,0.000521875,0.000521875,0.000521875
102,1093.19,0.57281,0.37847,0.8639,0.94029,0.81463,0.90694,0.69244,1.04011,0.52957,1.19129,0.000520844,0.000520844,0.000520844
103,1103.3,0.58591,0.38831,0.86987,0.904,0.8768,0.9154,0.70626,1.02354,0.5374,1.22128,0.000519812,0.000519812,0.000519812
